"id","confidence","correct","domain","model","seed","signal"
"generative-42-fin-test-96","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-97","0.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-98","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-100","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-101","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-104","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-105","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-106","0.2","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-107","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-108","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-109","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-110","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-111","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-112","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-113","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-114","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-115","0.8","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-116","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-117","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-118","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-119","0.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-120","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-121","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-122","0.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-123","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-124","0.2","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-125","0.4","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-126","0.2","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-127","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-128","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-129","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-130","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-131","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-132","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-133","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-134","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-135","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-136","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-137","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-138","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-139","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-140","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-141","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-142","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-143","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-144","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-145","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-146","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-147","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-148","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-149","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-150","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-151","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-152","1.0","0","fin_test","generative","42","conf_min_sc"
